Order_ID,Customer_Name,Country,iPhone_Model,Storage,Color,Quantity,Price,Sale_Date,Payment_Method
1001,Customer_1,USA,iPhone 13,256GB,Purple,5,1817,2025-05-01,Debit Card
1002,Customer_2,Canada,iPhone 12,256GB,Blue,1,998,2025-03-05,PayPal
1003,Customer_3,Canada,iPhone 15 Pro Max,512GB,Black,5,876,2025-01-25,Credit Card
1004,Customer_4,USA,iPhone 15 Pro Max,512GB,Black,2,1290,2025-03-24,Debit Card
1005,Customer_5,USA,iPhone 15,128GB,Blue,3,1092,2025-02-01,Debit Card
1006,Customer_6,UAE,iPhone 14 Pro,256GB,Red,5,1939,2025-02-15,Debit Card
1007,Customer_7,Germany,iPhone 14 Pro,512GB,Blue,1,1798,2025-02-13,Debit Card
1008,Customer_8,UK,iPhone 15 Pro Max,128GB,Purple,3,1808,2025-03-30,Debit Card
1009,Customer_9,UAE,iPhone 12,512GB,Purple,2,1381,2025-03-06,Debit Card
1010,Customer_10,Pakistan,iPhone 14 Pro,128GB,Red,5,1670,2025-02-25,Debit Card
1011,Customer_11,UK,iPhone 15 Pro Max,256GB,White,5,1857,2025-01-28,PayPal
1012,Customer_12,USA,iPhone 14,128GB,Black,3,1572,2025-03-25,Cash
1013,Customer_13,Germany,iPhone 12,512GB,Blue,3,1868,2025-02-18,PayPal
1014,Customer_14,USA,iPhone 12,512GB,Black,3,1743,2025-01-17,Credit Card
1015,Customer_15,UAE,iPhone 14 Pro,256GB,Blue,1,1544,2025-01-27,Credit Card
1016,Customer_16,UAE,iPhone 12,128GB,Blue,4,1819,2025-04-04,Debit Card
1017,Customer_17,Germany,iPhone 13,512GB,Red,5,1992,2025-04-28,PayPal
1018,Customer_18,Canada,iPhone 14 Pro,256GB,Red,2,1003,2025-04-04,PayPal
1019,Customer_19,UAE,iPhone 13,128GB,Purple,1,1010,2025-03-15,Debit Card
1020,Customer_20,UAE,iPhone 15,256GB,Purple,3,1588,2025-03-27,Debit Card
1021,Customer_21,Pakistan,iPhone 15,256GB,Red,3,742,2025-03-12,Cash
1022,Customer_22,Pakistan,iPhone 15,128GB,Black,4,1627,2025-03-22,PayPal
1023,Customer_23,USA,iPhone 15,128GB,Red,5,1964,2025-04-19,Cash
1024,Customer_24,UK,iPhone 15,256GB,White,4,817,2025-01-01,Cash
1025,Customer_25,UK,iPhone 15 Pro Max,128GB,Purple,5,1571,2025-01-23,Debit Card
1026,Customer_26,UAE,iPhone 14,128GB,Red,3,1302,2025-03-27,Debit Card
1027,Customer_27,USA,iPhone 13,256GB,White,5,1060,2025-01-19,Cash
1028,Customer_28,UK,iPhone 13,128GB,Blue,4,1879,2025-01-30,Credit Card
1029,Customer_29,Canada,iPhone 14 Pro,256GB,Red,3,1963,2025-03-30,Debit Card
1030,Customer_30,Canada,iPhone 14,512GB,Blue,5,1673,2025-01-19,Debit Card
1031,Customer_31,UAE,iPhone 13,256GB,Purple,5,1135,2025-03-26,Debit Card
1032,Customer_32,USA,iPhone 15 Pro Max,128GB,Blue,5,1550,2025-03-09,PayPal
1033,Customer_33,Canada,iPhone 14,128GB,Blue,5,1646,2025-02-05,PayPal
1034,Customer_34,USA,iPhone 14 Pro,128GB,Red,4,1559,2025-03-17,Debit Card
1035,Customer_35,Canada,iPhone 14 Pro,128GB,White,5,1793,2025-01-02,Cash
1036,Customer_36,USA,iPhone 12,512GB,Blue,5,1030,2025-04-02,Credit Card
1037,Customer_37,Canada,iPhone 14 Pro,128GB,Red,2,1921,2025-04-09,Credit Card
1038,Customer_38,UAE,iPhone 14 Pro,128GB,Purple,1,1674,2025-04-17,Credit Card
1039,Customer_39,Canada,iPhone 15 Pro Max,256GB,Red,1,1218,2025-01-25,Credit Card
